k,z,domain,n_rows,task,reduction_pct,answer_preserved,invariant_preserved,recovered
2,1.5,cloud_inventory,250,provenance,76.0561354831069,1,1,0
2,1.5,cloud_inventory,250,lookup,99.90882957052594,1,1,1
2,1.5,cloud_inventory,250,rare_event,75.62343862707064,1,1,0
2,1.5,cloud_inventory,250,latest_state,99.86525391281907,1,1,1
2,1.5,cloud_inventory,250,aggregation,99.58687738106067,1,1,1
2,1.5,cloud_inventory,250,join,99.77027590160363,1,1,1
2,1.5,cloud_inventory,250,negative_evidence,99.91686779864662,1,1,1
2,1.5,cloud_inventory,250,threshold,75.62343862707064,1,1,0
2,1.5,cloud_inventory,250,provenance,75.62343862707064,1,1,0
2,1.5,cloud_inventory,250,lookup,74.45788178850886,1,1,0
2,1.5,cloud_inventory,250,rare_event,74.45788178850886,1,1,0
2,1.5,cloud_inventory,250,latest_state,99.78782769832188,1,1,1
2,1.5,cloud_inventory,250,aggregation,99.67042428114205,1,1,1
2,1.5,cloud_inventory,250,join,99.82717370840376,1,1,1
2,1.5,cloud_inventory,250,negative_evidence,99.91644261299814,1,1,1
2,1.5,cloud_inventory,250,threshold,74.45788178850886,1,1,0
2,1.5,cloud_inventory,250,provenance,74.45788178850886,1,1,0
