case,domain,n_rows,task,method,bytes,reduction_pct,answer_preserved,invariants_preserved,recovered,latency_us
33,incident_ops,50,lookup,Anomaly sampling,35833,62.43762841209275,0,0,0,58.328
33,incident_ops,50,lookup,Task-aware unverified,432,99.54715082393392,1,1,0,3.235
33,incident_ops,50,lookup,Pattern-retention guard,37712,60.46794414860162,1,1,1,71.177
33,incident_ops,50,lookup,Invariant-preserving gate,428,99.55134387186045,1,1,1,65.829
34,incident_ops,50,rare_event,Raw,95396,0.0,1,1,0,0.0
34,incident_ops,50,rare_event,Fixed projection,9740,89.78992829888045,1,1,0,45.758
34,incident_ops,50,rare_event,Head-tail sampling,37710,60.47004067256489,0,0,0,0.451
34,incident_ops,50,rare_event,Anomaly sampling,35833,62.43762841209275,1,1,0,58.207
34,incident_ops,50,rare_event,Task-aware unverified,352,99.63101178246467,1,1,0,4.146
34,incident_ops,50,rare_event,Pattern-retention guard,35831,62.43972493605602,1,1,0,63.135
34,incident_ops,50,rare_event,Invariant-preserving gate,35833,62.43762841209275,1,1,0,59.74
35,incident_ops,50,latest_state,Raw,95396,0.0,1,1,0,0.0
35,incident_ops,50,latest_state,Fixed projection,9740,89.78992829888045,1,1,0,46.7
35,incident_ops,50,latest_state,Head-tail sampling,37710,60.47004067256489,0,0,0,0.461
35,incident_ops,50,latest_state,Anomaly sampling,35833,62.43762841209275,0,0,0,55.623
35,incident_ops,50,latest_state,Task-aware unverified,171,99.82074720114052,1,0,0,3.035
35,incident_ops,50,latest_state,Pattern-retention guard,45197,52.62170321606776,1,1,1,61.973
35,incident_ops,50,latest_state,Invariant-preserving gate,634,99.33540190364376,1,1,1,70.345
36,incident_ops,50,aggregation,Raw,95396,0.0,1,1,0,0.0
36,incident_ops,50,aggregation,Fixed projection,9740,89.78992829888045,0,0,0,46.23
36,incident_ops,50,aggregation,Head-tail sampling,37710,60.47004067256489,0,0,0,0.49
36,incident_ops,50,aggregation,Anomaly sampling,35833,62.43762841209275,0,0,0,56.475
36,incident_ops,50,aggregation,Task-aware unverified,193,99.79768543754454,1,1,0,4.036
36,incident_ops,50,aggregation,Pattern-retention guard,37727,60.45222021887711,1,1,1,62.033
36,incident_ops,50,aggregation,Invariant-preserving gate,189,99.80187848547108,1,1,1,70.576
37,incident_ops,50,join,Raw,95396,0.0,1,1,0,0.0
37,incident_ops,50,join,Fixed projection,9740,89.78992829888045,0,0,0,46.109
37,incident_ops,50,join,Head-tail sampling,37710,60.47004067256489,0,0,0,0.531
37,incident_ops,50,join,Anomaly sampling,35833,62.43762841209275,0,0,0,56.765
37,incident_ops,50,join,Task-aware unverified,720,99.2452513732232,1,1,0,8.052
37,incident_ops,50,join,Pattern-retention guard,39586,58.50350119501866,1,1,1,63.806
37,incident_ops,50,join,Invariant-preserving gate,716,99.24944442114973,1,1,1,83.816
38,incident_ops,50,negative_evidence,Raw,95396,0.0,1,1,0,0.0
38,incident_ops,50,negative_evidence,Fixed projection,9740,89.78992829888045,1,1,0,45.418
38,incident_ops,50,negative_evidence,Head-tail sampling,37710,60.47004067256489,0,0,0,0.511
38,incident_ops,50,negative_evidence,Anomaly sampling,35833,62.43762841209275,0,0,0,68.062
38,incident_ops,50,negative_evidence,Task-aware unverified,78,99.91823556543251,0,0,0,0.471
